Threads Archivos , Threads Maximo , Tiempo En Cargar Archivos, Tiempo en buscar Maximo, Tiempo de Programa, cantidad de archivos
 1, 1, 0.019ms, 0.222ms, 530.628ms, 1
 2, 2, 0.025ms, 0.346ms, 566.165ms, 1
 3, 3, 0.099ms, 0.322ms, 517.203ms, 1
 4, 4, 0.029ms, 0.355ms, 560.403ms, 1
 6, 6, 0.02ms, 0.815ms, 522.95ms, 1
 7, 7, 0.018ms, 0.853ms, 519.159ms, 1
 8, 8, 0.018ms, 1.037ms, 509.341ms, 1
 10, 10, 0.019ms, 1.244ms, 517.248ms, 1
12, 12, 0.023ms, 2.254ms, 588.226ms, 1
14, 14, 0.022ms, 1.722ms, 544.338ms, 1
16, 16, 0.033ms, 2.078ms, 556.727ms, 1
17, 17, 0.023ms, 2.534ms, 519.695ms, 1
19, 19, 0.022ms, 2.511ms, 510.476ms, 1
20, 20, 0.024ms, 2.523ms, 617.966ms, 1
22, 22, 0.019ms, 3.558ms, 541.758ms, 1
24, 24, 0.024ms, 2.942ms, 540.871ms, 1
25, 25, 0.018ms, 3.604ms, 541.784ms, 1
26, 26, 0.019ms, 3.466ms, 523.952ms, 1



